,Series_reference,Data_value,STATUS
365,BDCQ.SEA1CA,232496.0,F
366,BDCQ.SEA1CA,232854.0,F
367,BDCQ.SEA1CA,228332.0,F
368,BDCQ.SEA1CA,230027.0,F
369,BDCQ.SEA1CA,230122.0,F
370,BDCQ.SEA1CA,228544.0,F
371,BDCQ.SEA1CS,205546.0,R
372,BDCQ.SEA1CS,205226.0,R
373,BDCQ.SEA1CS,204628.0,R
374,BDCQ.SEA1CS,204756.0,R
375,BDCQ.SEA1CS,205574.0,R
376,BDCQ.SEA1CS,203885.0,R
377,BDCQ.SEA1CS,204141.0,R
378,BDCQ.SEA1CS,204864.0,R
379,BDCQ.SEA1CS,204151.0,R
380,BDCQ.SEA1CS,205897.0,R
381,BDCQ.SEA1CS,207953.0,R
382,BDCQ.SEA1CS,208158.0,R
383,BDCQ.SEA1CS,209034.0,R
384,BDCQ.SEA1CS,209916.0,R
385,BDCQ.SEA1CS,208006.0,R
386,BDCQ.SEA1CS,210421.0,R
387,BDCQ.SEA1CS,211082.0,R
388,BDCQ.SEA1CS,211979.0,R
389,BDCQ.SEA1CS,211741.0,R
390,BDCQ.SEA1CS,212943.0,R
391,BDCQ.SEA1CS,213484.0,R
392,BDCQ.SEA1CS,214480.0,R
393,BDCQ.SEA1CS,215489.0,R
394,BDCQ.SEA1CS,215538.0,R
395,BDCQ.SEA1CS,217882.0,R
396,BDCQ.SEA1CS,218407.0,R
397,BDCQ.SEA1CS,219977.0,R
398,BDCQ.SEA1CS,222003.0,R
399,BDCQ.SEA1CS,223108.0,R
400,BDCQ.SEA1CS,222857.0,R
401,BDCQ.SEA1CS,223292.0,R
402,BDCQ.SEA1CS,224712.0,R
403,BDCQ.SEA1CS,224474.0,R
404,BDCQ.SEA1CS,224541.0,R
405,BDCQ.SEA1CS,226535.0,R
406,BDCQ.SEA1CS,225771.0,R
407,BDCQ.SEA1CS,223978.0,R
408,BDCQ.SEA1CS,223080.0,R
409,BDCQ.SEA1CS,222076.0,R
410,BDCQ.SEA1CS,220842.0,R
411,BDCQ.SEA1CS,223602.0,R
412,BDCQ.SEA1CS,224955.0,R
413,BDCQ.SEA1CS,225502.0,R
414,BDCQ.SEA1CS,226405.0,R
415,BDCQ.SEA1CS,226169.0,R
416,BDCQ.SEA1CS,228340.0,R
417,BDCQ.SEA1CS,229186.0,R
